type,icon,title,url
"url","http://138.68.83.180/app/twitch-redesign-mockup/dist/img/tool.png","rooms","http://138.68.83.180/app/room/"
"url","http://138.68.83.180/app/twitch-redesign-mockup/dist/img/tool-001.png","tape deck","http://138.68.83.180/app/CassettePlayer/"
"url","http://138.68.83.180/app/twitch-redesign-mockup/dist/img/tool-002.png","Record's","http://138.68.83.180/app/RecordPlayer/"
"url","http://138.68.83.180/app/twitch-redesign-mockup/dist/img/tool-003.png","scan","http://138.68.83.180/app/kd/"
"url","http://138.68.83.180/app/twitch-redesign-mockup/dist/img/tool-004.png","NaturalLanguageForm","http://138.68.83.180/app/NaturalLanguageForm/"
"url","http://138.68.83.180/app/twitch-redesign-mockup/dist/img/tool-005.png","rooms","http://138.68.83.180/app/room/"
"url","http://138.68.83.180/app/twitch-redesign-mockup/dist/img/tool-006.png","rooms","http://138.68.83.180/app/room/"
